run,bottleneck,bits_per_clip,FID,Diversity,TOP1,TOP2,TOP3,Matching,MPJPE,Multimodality
skelvq_fsq_l4_cluster,FSQ L=4 (no reg),13440,0.0173±0.0004,9.409±0.154,0.5113±0.0059,0.7022±0.0053,0.7956±0.0043,2.9793±0.0140,0.0242±0.0001,0.0000±0.0000
skelvq_fsq_l6_cluster,FSQ L=6 (no reg),17371,0.0089±0.0002,9.431±0.156,0.5139±0.0057,0.7034±0.0038,0.7972±0.0033,2.9762±0.0137,0.0209±0.0001,0.0000±0.0000
skelvq_fsq_cluster,"FSQ L=8 (no reg, log2(7) effective)",18860,0.0078±0.0002,9.418±0.154,0.5123±0.0054,0.7027±0.0050,0.7970±0.0039,2.9756±0.0137,0.0184±0.0001,0.0000±0.0000
skelvq_fsq_reg_cluster,"FSQ L=8 + entropy reg (w=0.1, inv_temp=20)",18860,0.0130±0.0003,9.446±0.160,0.5113±0.0049,0.7014±0.0048,0.7957±0.0043,2.9848±0.0142,0.0207±0.0001,0.0000±0.0000
skelvq_fsq_l10_cluster,FSQ L=10 (no reg),22323,0.0050±0.0001,9.441±0.156,0.5139±0.0058,0.7039±0.0051,0.7978±0.0033,2.9744±0.0134,0.0166±0.0000,0.0000±0.0000
